084100000;+03:00;194.25;194.28;194.2;194.26;44290
084200000;+03:00;194.26;194.27;194.2;194.21;3280
084300000;+03:00;194.22;194.26;194.14;194.2;59430
084400000;+03:00;194.21;194.24;194.09;194.2;121690
084500000;+03:00;194.2;194.24;194.2;194.2;65360
084600000;+03:00;194.21;194.21;194.09;194.12;70720
084700000;+03:00;194.15;194.24;194.1;194.13;29120
084800000;+03:00;194.16;194.24;194.15;194.17;24160
084900000;+03:00;194.18;194.19;194.1;194.1;46560
085000000;+03:00;194.11;194.29;194.07;194.21;228390
085100000;+03:00;194.28;194.29;194.21;194.29;5050
085200000;+03:00;194.29;194.3;194.25;194.29;17480
085300000;+03:00;194.27;194.33;194.26;194.28;5940
085400000;+03:00;194.28;194.47;194.28;194.36;137870
085500000;+03:00;194.37;194.5;194.35;194.36;23760
085600000;+03:00;194.37;194.44;194.33;194.33;4440
085700000;+03:00;194.34;194.4;194.32;194.32;8540
085800000;+03:00;194.32;194.37;194.32;194.32;2260
085900000;+03:00;194.34;194.4;194.24;194.26;33390
090000000;+03:00;194.26;194.32;194.19;194.22;32490
090100000;+03:00;194.23;194.29;194.08;194.25;46320
090200000;+03:00;194.14;194.28;194.06;194.14;61410
090300000;+03:00;194.15;194.15;194.05;194.05;12590
090400000;+03:00;194.07;194.17;193.88;193.94;102140
090500000;+03:00;193.96;194.05;193.91;193.97;29760
090600000;+03:00;193.98;193.99;193.95;193.95;5210
090700000;+03:00;193.95;194.04;193.95;194.03;16490
090800000;+03:00;194.01;194.12;193.95;194.12;23240
090900000;+03:00;194.08;194.2;194.08;194.13;18480
091000000;+03:00;194.14;194.34;194.14;194.34;88640
091100000;+03:00;194.28;194.48;194.28;194.48;81130
091200000;+03:00;194.48;194.74;194.48;194.53;296520
091300000;+03:00;194.57;194.68;194.53;194.6;124620
091400000;+03:00;194.6;194.68;194.54;194.59;87380
091500000;+03:00;194.66;194.85;194.63;194.79;327900
091600000;+03:00;194.74;194.8;194.67;194.76;59960
091700000;+03:00;194.76;194.87;194.76;194.79;90970
091800000;+03:00;194.78;194.78;194.57;194.72;94070
091900000;+03:00;194.67;194.75;194.62;194.62;15670
092000000;+03:00;194.62;194.66;194.41;194.48;119570
092100000;+03:00;194.49;194.68;194.49;194.54;56300
092200000;+03:00;194.57;194.61;194.5;194.51;25170
092300000;+03:00;194.51;194.71;194.51;194.71;32170
092400000;+03:00;194.67;194.72;194.61;194.62;11910
092500000;+03:00;194.68;194.72;194.59;194.59;8430
092600000;+03:00;194.58;194.58;194.51;194.51;7550
092700000;+03:00;194.51;194.63;194.5;194.6;37840
092800000;+03:00;194.57;194.64;194.55;194.56;4680
092900000;+03:00;194.63;194.76;194.57;194.68;68370
093000000;+03:00;194.69;194.74;194.63;194.68;39250
093100000;+03:00;194.67;194.68;194.51;194.51;45050
